index,pixels
1,189
2,126
3,9
4,120
5,73
6,108
7,123
8,177
9,102
10,144
11,219
12,154
13,207
14,178
15,146
16,216
17,136
18,214
19,171
20,126
21,123
22,124
23,88
24,61
25,123
26,124
27,115
28,262
29,63
30,147
31,60
32,90
33,284
34,97
35,208
36,140
37,105
38,72
39,148
40,130
41,22
42,168
43,51
44,47
45,123
46,238
47,120
48,127
49,158
50,66
51,203
52,125
53,150
54,151
55,145
56,153
57,205
58,35
59,34
60,138
61,120
62,116
63,189
64,16
65,24
66,56
67,92
68,133
69,82
70,132
71,164
72,96
73,138
74,135
75,144
76,44
77,193
78,285
79,48
80,56
81,56
82,42
83,52
84,204
85,169
86,95
87,43
88,171
89,136
90,255
91,83
92,287
93,153
94,81
95,282
96,84
97,120
98,123
99,144
100,187
101,209
102,83
103,66
104,81
105,106
106,61
107,36
108,38
109,38
110,169
111,76
112,77
113,65
114,296
115,61
116,34
117,248
118,60
119,52
120,135
121,40
122,58
123,140
124,147
125,43
126,48
127,44
128,153
129,247
130,197
131,52
132,179
133,34
134,36
135,257
136,150
137,69
138,147
139,51
140,95
141,78
142,55
143,134
144,180
145,74
146,164
147,21
148,147
149,21
150,56
151,63
152,119
153,117
154,154
155,55
156,124
157,199
158,49
159,99
160,189
161,70
162,149
163,95
164,166
165,86
166,132
167,240
168,198
169,46
170,97
171,84
172,91
173,110
174,137
175,134
176,59
177,174
178,75
179,120
180,48
181,106
182,97
183,249
184,33
185,161
186,116
187,36
188,163
189,6
190,149
191,70
192,42
193,45
194,148
195,55
196,75
197,81
198,86
199,261
200,168
201,126
202,114
203,115
204,41
205,159
206,156
207,125
208,116
209,58
210,236
211,85
212,48
213,138
214,98
215,82
216,262
217,89
218,87
219,49
220,138
221,144
222,105
223,51
224,46
225,139
226,42
227,235
228,58
229,9
230,113
231,271
232,214
233,69
234,34
235,73
236,57
237,244
238,107
239,65
240,66
241,206
242,88
243,231
244,83
245,112
246,83
247,92
248,220
249,194
250,171
251,54
252,58
253,118
254,66
255,94
256,58
257,195
258,83
259,142
260,66
261,50
262,248
263,82
264,44
265,76
266,124
267,64
268,73
269,28
270,57
271,145
272,155
273,43
274,90
275,173
276,68
277,229
278,45
279,200
280,82
281,21
282,117
283,32
284,42
285,78
286,16
287,208
288,37
289,45
290,197
291,68
292,85
293,128
294,153
295,132
296,143
297,247
298,16
299,55
300,117
301,186
302,185
303,118
304,233
305,61
306,209
307,145
308,148
309,242
310,252
311,72
312,56
313,111
314,159
315,44
316,130
317,332
318,16
319,130
320,186
321,58
322,191
323,66
324,83
325,69
326,123
327,154
328,55
329,108
330,183
331,173
332,141
333,216
334,102
335,181
336,175
337,155
338,6
339,231
340,116
341,240
342,64
343,61
344,166
345,55
346,155
347,111
348,147
349,29
350,86
351,167
352,37
353,103
354,209
355,82
356,74
357,103
358,103
359,88
360,146
361,121
362,73
363,60
364,135
365,50
366,83
367,26
368,1
369,1
370,2
371,4
372,173
373,176
374,51
375,49
376,49
377,44
378,136
379,63
380,19
381,7
382,1
383,164
384,114
385,46
386,147
387,45
388,83
389,174
390,125
391,180
392,52
393,79
394,60
395,19
396,17
397,255
398,60
399,66
400,100
401,181
402,168
403,127
404,59
405,243
406,93
407,58
408,139
409,49
410,100
411,114
412,106
413,125
414,150
415,171
416,66
417,9
418,9
419,85
420,2
421,1
422,115
423,35
424,72
425,172
426,162
